# environment: cpu=32 ram=95366MB gpu=RTX5090(32607MiB) python=3.12 foreground
# metric_direction: lower
# mode: loop
# run_tag: luma-continuation-gain
# parallel: serial
# web_search: disabled
# goal: Upgrade Luma exit learning from exit/not-exit heuristics toward continuation gain while preserving emotion/persona/dialogue and keeping params <=0.35B
# scope: model/model_minimind.py;,scripts/run_luma_stage12.py;,trainer/train_luma_pretrain.py;,docs/plans/Luma_v0.7.2_Agent_MasterPlan.md;,docs/reports;,docs/reference/Luma_Loss_Reference.md;,docs/agent/AGENT_WORKLOG.md
# repos_json: [{"path":"/home/kt/ai/minimind","role":"primary","scope":"model/model_minimind.py;,scripts/run_luma_stage12.py;,trainer/train_luma_pretrain.py;,docs/plans/Luma_v0.7.2_Agent_MasterPlan.md;,docs/reports;,docs/reference/Luma_Loss_Reference.md;,docs/agent/AGENT_WORKLOG.md"}]
# metric: mixed_self_rollout_tail_512
# verify: source /home/kt/ai/.venvs/luma-global/bin/activate && cd /home/kt/ai/minimind/scripts && python run_luma_stage12.py --device cuda --fixture-mode competition_math_dialogue_emotion --samples 8 --seq-len 48 --stage2-steps 512 --rollout-steps 10 --slow-k 1 --reason-loops 15 --world-jepa-mode full --enable-self-check-ring --self-check-k 2 --meta-dim 64 --meta-state 16 --c-t-dim 32 --self-check-dim 16 --enable-persona-seed --reason-shared-depth 2 --json-out ../artifacts/autoresearch_eval.json --metrics-out ../artifacts/autoresearch_eval_metrics.jsonl && python -c "import json;print(json.load(open('/home/kt/ai/minimind/artifacts/autoresearch_eval.json'))['per_task']['mixed']['stage2']['self_rollout_tail'])"
# guard: params<=0.35B; math not worse; dialogue not materially worse; emotion preserved or not materially worse; mixed not broken; persona_seed soft-guard only (record but do not veto)
# iterations: 20
# stop_condition: 20 iterations or hard blocker
# rollback_policy: git revert --no-edit HEAD
# resume_note: next resume should restore iteration-5 branch semantics as an alt-keep candidate under the new soft-guard treatment for persona_seed
iteration	commit	metric	delta	guard	status	description
0	b1865f7	0.09375	0	-	baseline	Baseline uses full+depth2+self_check_k=2 with 512-step mixed-derived evaluation and per-task probe from mixed-trained model.
1	b1865f7-dirty-iter1	0.09375	0	-	crash	Iteration 1 crash: continuation gain predictor used float32 feature stack against BF16 weights in ExitController.
2	b1865f7-dirty-iter2	0.041015625	-0.052734375	-	keep	[labels: continuation-gain, one-step-lookahead] Iteration 2 keep: exit auxiliary loss now regresses one-step continuation gain with loop progress, recent gain history, and remaining budget features; mixed self_rollout_tail improved from 0.09375 to 0.041015625 under 512-step validation.
3	b1865f7-dirty-iter3	0.044921875	+0.00390625	-	discard	[labels: observed-gain-history] Iteration 3 discard: replacing recent predicted gain history with directly observed recent error-improvement history worsened mixed self_rollout_tail from 0.041015625 to 0.044921875 and sharply hurt emotion/persona buckets.
4	b1865f7-dirty-iter4	0.185546875	+0.14453125	-	discard	[labels: continuation-gain, direct-logit-gating, budget-awareness] Iteration 4 discard: wiring predicted continuation gain, recent improvement speed, and remaining budget directly into the exit logit made the policy too aggressive and degraded mixed self_rollout_tail from 0.041015625 to 0.185546875, with math/emotion/persona all regressing.
5	b1865f7-dirty-iter5	0.0390625	-0.001953125	fail	discard	[labels: continuation-gain, two-step-value, guard-fail-persona] Iteration 5 discard: adding a light two-step continuation-value auxiliary improved mixed self_rollout_tail from 0.041015625 to 0.0390625, but it violated the guard by sharply degrading persona_seed rollout tail from 0.361328125 to 0.666015625 and slightly worsening emotion.
6	b1865f7-dirty-iter6	0.10546875	+0.064453125	fail	discard	[labels: continuation-gain, uncertainty-gated-two-step, guard-fail-persona] Iteration 6 discard: blending one-step continuation gain with an uncertainty-gated two-step target degraded mixed self_rollout_tail from 0.041015625 to 0.10546875 and hurt both emotion and persona_seed, so the two-step supervision is still too destabilizing.
7	b1865f7-dirty-iter7	0.056640625	+0.015625	-	discard	[labels: continuation-gain, feature-rich-gain-head, stable-but-worse] Iteration 7 discard: enriching the one-step continuation-gain head with separate recent-gain average, recent improvement average, and acceleration preserved persona/emotion much better than two-step variants, but mixed self_rollout_tail still regressed from 0.041015625 to 0.056640625.
8	b1865f7-pivot1	0.041015625	0	-	pivot	[labels: continuation-gain, pivot-away-two-step, guard-first] [PIVOT] Abandoning direct exit-logit gain gating and all current two-step value variants. Across iterations 4-7 they either destabilized mixed outright or violated persona/emotion guards. Next strategy family should stay with retained one-step continuation gain and look for a fundamentally different leverage point, such as cross-file training-time scheduling or guard-aware weighting, instead of deeper value targets.
9	b1865f7-dirty-iter9	0.0390625	-0.001953125	fail(math 0.037109375->0.041015625; persona soft-hit 0.361328125->0.61328125)	discard	[labels: continuation-gain, two-step-value, structured-world-mask, self-world-coupling, hierarchical-rollout, surprise-metric] [iter5-base bundle] Restore light two-step continuation auxiliary, simplify full world JEPA toward next-embedding+SIGReg, add structured world mask, self/world coupling, hierarchical rollout, and surprise tracking; mixed improved 0.041015625->0.0390625 with dialogue/emotion gains, but math regressed 0.037109375->0.041015625 so hard guard fails.
